item_id,claim_id,recode_claim_card_specifiable,recode_scalar_directional,recode_relation_type,recode_planning_feasible,recode_auditable_design,recode_design_type,recode_materialization_boundary,recode_T1_exact_defensible
S001,ext_2202_14025v1_legacy_claim12,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S002,ext_2202_14025v1_legacy_claim6,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S003,ext_2304_08814v2_claim5,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S004,ext_2409_08844v2_claim1,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S005,ext_2409_08844v2_claim3,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S006,ext_2409_08844v2_claim4,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S007,ext_2411_00518v2_claim1,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S008,ext_2411_00518v2_claim3,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S009,ext_2005_11011v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S010,ext_2008_02941v2_claim2,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S011,ext_2108_02099v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S012,ext_2202_14025v1_legacy_claim11,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S013,ext_2202_14025v1_legacy_claim5,true,false,equality,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S014,ext_2304_03829v1_claim4,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S015,ext_2305_03390v1_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S016,ext_2308_02536v1_legacy_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_seed_policy,not_applicable
S017,ext_2309_01028v2_claim4,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S018,ext_2309_01028v2_claim5,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S019,ext_2409_15055v2_claim2,true,false,crossover_regional,false,yes,source_supported_extension,non_scalar_relation,not_applicable
S020,ext_2411_00518v2_claim2,true,false,crossover_regional,false,yes,source_supported_extension,non_scalar_relation,not_applicable
S021,ext_2110_00592v2_claim1,true,false,unclear_boundary,true,no,boundary,source_inconsistency,not_applicable
S022,ext_2110_00592v2_claim2,true,false,unclear_boundary,true,no,boundary,source_inconsistency,not_applicable
S023,ext_2110_00592v2_claim4,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S024,ext_2206_09938v2_claim2,true,false,unclear_boundary,true,no,boundary,source_inconsistency,not_applicable
S025,ext_2208_13380v2_claim2,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S026,ext_2303_02830v1_claim1,true,false,unclear_boundary,true,no,boundary,invalid_runtime_environment,not_applicable
S027,ext_2405_09169v3_claim4,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S028,ext_2408_13316v2_claim2,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S029,ext_2409_14786v3_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S030,ext_2409_14786v3_claim4,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S031,ext_2007_15671v1_claim3,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S032,ext_2007_15671v1_claim4,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S033,ext_2007_15671v1_claim5,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
