external_claim_id,n_qubits,removed_edges,random_seed,qiskit_optimization_level,input_cx_depth,qiskit_cx_depth,pytket_cx_depth,qiskit_overhead,pytket_overhead,outcome
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",0,0,21,24,21,1.1428571428571428,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",0,1,21,21,21,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",0,2,21,20,21,0.9523809523809523,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",0,3,21,20,21,0.9523809523809523,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",1,0,17,23,16,1.3529411764705883,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",1,1,17,16,16,0.9411764705882353,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",1,2,17,16,16,0.9411764705882353,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",1,3,17,16,16,0.9411764705882353,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",2,0,20,24,19,1.2,0.95,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",2,1,20,19,19,0.95,0.95,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",2,2,20,15,19,0.75,0.95,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",2,3,20,15,19,0.75,0.95,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",3,0,21,30,20,1.4285714285714286,0.9523809523809523,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",3,1,21,20,20,0.9523809523809523,0.9523809523809523,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",3,2,21,19,20,0.9047619047619048,0.9523809523809523,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",3,3,21,19,20,0.9047619047619048,0.9523809523809523,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",4,0,22,29,22,1.3181818181818181,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",4,1,22,22,22,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",4,2,22,19,22,0.8636363636363636,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",4,3,22,19,22,0.8636363636363636,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",5,0,18,29,14,1.6111111111111112,0.7777777777777778,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",5,1,18,14,14,0.7777777777777778,0.7777777777777778,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",5,2,18,14,14,0.7777777777777778,0.7777777777777778,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",5,3,18,14,14,0.7777777777777778,0.7777777777777778,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",6,0,20,32,17,1.6,0.85,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",6,1,20,17,17,0.85,0.85,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",6,2,20,16,17,0.8,0.85,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",6,3,20,16,17,0.8,0.85,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",7,0,18,18,16,1.0,0.8888888888888888,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",7,1,18,16,16,0.8888888888888888,0.8888888888888888,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",7,2,18,10,16,0.5555555555555556,0.8888888888888888,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",7,3,18,10,16,0.5555555555555556,0.8888888888888888,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,0,17,27,16,1.588235294117647,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,1,17,16,16,0.9411764705882353,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,2,17,12,16,0.7058823529411765,0.9411764705882353,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,3,17,12,16,0.7058823529411765,0.9411764705882353,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,0,19,32,16,1.6842105263157894,0.8421052631578947,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,1,19,16,16,0.8421052631578947,0.8421052631578947,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,2,19,15,16,0.7894736842105263,0.8421052631578947,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,3,19,15,16,0.7894736842105263,0.8421052631578947,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,0,18,30,18,1.6666666666666667,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,1,18,18,18,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,2,18,10,18,0.5555555555555556,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,3,18,10,18,0.5555555555555556,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,0,20,27,20,1.35,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,1,20,20,20,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,2,20,18,20,0.9,1.0,1
