external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,tket_cx_count,qiskit_cx_count,tket_depth,qiskit_depth,outcome
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,0,4,9,5,13,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,1,4,9,5,20,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,2,4,9,5,15,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,3,4,9,5,13,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,4,4,9,5,15,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,0,4,6,5,12,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,1,4,6,5,12,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,2,4,6,5,12,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,3,4,6,5,12,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,4,4,4,5,7,0
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,0,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,1,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,2,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,3,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,4,4,4,5,8,0
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,0,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,1,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,2,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,3,4,6,5,11,1
ext_2304_08814v2_claim5,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,4,4,4,5,8,0
ext_2304_08814v2_claim5,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,0,11,17,10,22,1
ext_2304_08814v2_claim5,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,1,11,20,10,37,1
ext_2304_08814v2_claim5,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,2,11,17,10,30,1
ext_2304_08814v2_claim5,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,3,11,17,10,22,1
