external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,qiskit_cx_count,tket_cx_count,qiskit_2q_depth,tket_2q_depth,outcome
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,0,9,4,9,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,1,9,4,9,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,2,9,4,9,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,3,9,4,9,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,4,9,4,9,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,0,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,1,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,2,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,3,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,4,4,4,4,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,0,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,1,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,2,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,3,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,4,4,4,4,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,0,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,1,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,2,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,3,6,4,6,4,0
ext_2409_08844v2_claim3,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,4,4,4,4,4,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,0,17,11,13,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,1,20,11,16,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,2,17,11,13,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,3,17,11,13,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,4,20,11,16,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",1,0,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",1,1,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",1,2,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",1,3,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",1,4,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",2,0,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",2,1,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",2,2,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",2,3,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",2,4,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",3,0,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",3,1,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",3,2,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",3,3,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",3,4,11,11,7,9,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",0,0,24,12,24,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",0,1,24,12,24,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",0,2,24,12,21,12,0
