external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,tket_2q_depth,qiskit_2q_depth,tket_cx_count,qiskit_cx_count,outcome
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,0,4,9,4,9,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,1,4,9,4,9,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,2,4,9,4,9,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,3,4,9,4,9,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",0,4,4,9,4,9,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,0,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,1,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,2,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,3,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",1,4,4,4,4,4,0
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,0,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,1,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,2,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,3,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",2,4,4,4,4,4,0
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,0,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,1,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,2,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,3,4,6,4,6,1
ext_2409_08844v2_claim4,linear_3_remote_cx,"[(0, 1), (1, 2), (2, 3)]",3,4,4,4,4,4,0
ext_2409_08844v2_claim4,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,0,9,13,11,17,1
ext_2409_08844v2_claim4,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,1,9,16,11,20,1
ext_2409_08844v2_claim4,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,2,9,13,11,17,1
ext_2409_08844v2_claim4,linear_4_crossing_ladder,"[(0, 1), (1, 2), (2, 3)]",0,3,9,13,11,17,1
