record_id,cell_id,claim_id,baseline_A_value,baseline_B_value,metric,signed_margin,preserved,contradicted,tied,axis_values,candidate_cluster_unit,cluster_unit_type
EX-C1,0,ext_2202_14025v1_legacy_claim12,0.011783291993197,0.0315455420059151,compilation runtime (pytket vs Qiskit),0.0197622500127181,1,0,0,circuit_size=4;qiskit_optimization_level=0;repetition=0,4,circuit_size (benchmark size)
EX-C1,1,ext_2202_14025v1_legacy_claim12,0.0091605000197887,0.0244532499928027,compilation runtime (pytket vs Qiskit),0.015292749973014,1,0,0,circuit_size=4;qiskit_optimization_level=1;repetition=0,4,circuit_size (benchmark size)
EX-C1,2,ext_2202_14025v1_legacy_claim12,0.009052958979737,0.0260956670390442,compilation runtime (pytket vs Qiskit),0.0170427080593072,1,0,0,circuit_size=4;qiskit_optimization_level=2;repetition=0,4,circuit_size (benchmark size)
EX-C1,3,ext_2202_14025v1_legacy_claim12,0.0091112079680897,0.0270356250111944,compilation runtime (pytket vs Qiskit),0.0179244170431047,1,0,0,circuit_size=4;qiskit_optimization_level=3;repetition=0,4,circuit_size (benchmark size)
EX-C1,4,ext_2202_14025v1_legacy_claim12,0.0095766659942455,0.0269229169934988,compilation runtime (pytket vs Qiskit),0.0173462509992533,1,0,0,circuit_size=4;qiskit_optimization_level=0;repetition=1,4,circuit_size (benchmark size)
EX-C1,5,ext_2202_14025v1_legacy_claim12,0.009500291023869,0.0274638750124722,compilation runtime (pytket vs Qiskit),0.017963583988603198,1,0,0,circuit_size=4;qiskit_optimization_level=1;repetition=1,4,circuit_size (benchmark size)
EX-C1,6,ext_2202_14025v1_legacy_claim12,0.0090229579946026,0.0329219169798307,compilation runtime (pytket vs Qiskit),0.0238989589852281,1,0,0,circuit_size=4;qiskit_optimization_level=2;repetition=1,4,circuit_size (benchmark size)
EX-C1,7,ext_2202_14025v1_legacy_claim12,0.0093397090095095,0.0285781670245341,compilation runtime (pytket vs Qiskit),0.0192384580150246,1,0,0,circuit_size=4;qiskit_optimization_level=3;repetition=1,4,circuit_size (benchmark size)
EX-C1,8,ext_2202_14025v1_legacy_claim12,0.0096980830421671,0.0237010840210132,compilation runtime (pytket vs Qiskit),0.0140030009788461,1,0,0,circuit_size=4;qiskit_optimization_level=0;repetition=2,4,circuit_size (benchmark size)
EX-C1,9,ext_2202_14025v1_legacy_claim12,0.0090557090006768,0.0251904579927213,compilation runtime (pytket vs Qiskit),0.0161347489920445,1,0,0,circuit_size=4;qiskit_optimization_level=1;repetition=2,4,circuit_size (benchmark size)
EX-C1,10,ext_2202_14025v1_legacy_claim12,0.0091914579970762,0.0281980419531464,compilation runtime (pytket vs Qiskit),0.0190065839560702,1,0,0,circuit_size=4;qiskit_optimization_level=2;repetition=2,4,circuit_size (benchmark size)
EX-C1,11,ext_2202_14025v1_legacy_claim12,0.0090115000493824,0.0280427089892327,compilation runtime (pytket vs Qiskit),0.0190312089398503,1,0,0,circuit_size=4;qiskit_optimization_level=3;repetition=2,4,circuit_size (benchmark size)
EX-C1,12,ext_2202_14025v1_legacy_claim12,0.0092915829736739,0.0255607920116744,compilation runtime (pytket vs Qiskit),0.0162692090380005,1,0,0,circuit_size=4;qiskit_optimization_level=0;repetition=3,4,circuit_size (benchmark size)
EX-C1,13,ext_2202_14025v1_legacy_claim12,0.0102912919828668,0.0289292499655857,compilation runtime (pytket vs Qiskit),0.0186379579827189,1,0,0,circuit_size=4;qiskit_optimization_level=1;repetition=3,4,circuit_size (benchmark size)
EX-C1,14,ext_2202_14025v1_legacy_claim12,0.0094510830240324,0.0298342920141294,compilation runtime (pytket vs Qiskit),0.020383208990097,1,0,0,circuit_size=4;qiskit_optimization_level=2;repetition=3,4,circuit_size (benchmark size)
EX-C1,15,ext_2202_14025v1_legacy_claim12,0.0090833340073004,0.0267435829737223,compilation runtime (pytket vs Qiskit),0.017660248966421897,1,0,0,circuit_size=4;qiskit_optimization_level=3;repetition=3,4,circuit_size (benchmark size)
EX-C1,16,ext_2202_14025v1_legacy_claim12,0.0090769579983316,0.0236982909846119,compilation runtime (pytket vs Qiskit),0.0146213329862803,1,0,0,circuit_size=4;qiskit_optimization_level=0;repetition=4,4,circuit_size (benchmark size)
EX-C1,17,ext_2202_14025v1_legacy_claim12,0.0091217500157654,0.0245940419845283,compilation runtime (pytket vs Qiskit),0.015472291968762899,1,0,0,circuit_size=4;qiskit_optimization_level=1;repetition=4,4,circuit_size (benchmark size)
EX-C1,18,ext_2202_14025v1_legacy_claim12,0.0091130830114707,0.0275761249940842,compilation runtime (pytket vs Qiskit),0.0184630419826135,1,0,0,circuit_size=4;qiskit_optimization_level=2;repetition=4,4,circuit_size (benchmark size)
EX-C1,19,ext_2202_14025v1_legacy_claim12,0.0094929580227471,0.0304462499916553,compilation runtime (pytket vs Qiskit),0.020953291968908203,1,0,0,circuit_size=4;qiskit_optimization_level=3;repetition=4,4,circuit_size (benchmark size)
EX-C1,20,ext_2202_14025v1_legacy_claim12,0.0106593329692259,0.0275012089987285,compilation runtime (pytket vs Qiskit),0.0168418760295026,1,0,0,circuit_size=6;qiskit_optimization_level=0;repetition=0,6,circuit_size (benchmark size)
