record_id,tau,wilson_lower,wilson_upper,verdict,changed_from_primary
EX-C1,0.9,0.954182,1.0,Sustained,False
EX-C1,0.95,0.954182,1.0,Sustained,False
EX-C1,0.99,0.954182,1.0,Unresolved,True
EX-C2,0.9,0.954182,1.0,Sustained,False
EX-C2,0.95,0.954182,1.0,Sustained,False
EX-C2,0.99,0.954182,1.0,Unresolved,True
EX-C3,0.9,0.672132,0.852668,Unresolved,False
EX-C3,0.95,0.672132,0.852668,Unresolved,False
EX-C3,0.99,0.672132,0.852668,Unresolved,False
EX-C4,0.9,0.453411,0.665861,Unresolved,False
EX-C4,0.95,0.453411,0.665861,Unresolved,False
EX-C4,0.99,0.453411,0.665861,Unresolved,False
EX-C5,0.9,0.441195,0.654223,Unresolved,False
EX-C5,0.95,0.441195,0.654223,Unresolved,False
EX-C5,0.99,0.441195,0.654223,Unresolved,False
EX-C6,0.9,0.322566,0.534307,Unresolved,False
EX-C6,0.95,0.322566,0.534307,Unresolved,False
EX-C6,0.99,0.322566,0.534307,Unresolved,False
EX-C7,0.9,0.0,0.045818,Reversed,False
EX-C7,0.95,0.0,0.045818,Reversed,False
EX-C7,0.99,0.0,0.045818,Unresolved,True
EX-C8,0.9,0.0,0.045818,Reversed,False
EX-C8,0.95,0.0,0.045818,Reversed,False
EX-C8,0.99,0.0,0.045818,Unresolved,True
