claim_id,accepted,specifiable_relation_schema,scalar_directional,planning_feasible,scalar_oriented_planning,perturbation_audit_candidate,verification_only,materialized_rq2,tier,notes
ext_2308_02536v1_legacy_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2411_19388v1_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim4,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim5,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim6,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim7,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim8,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim9,true,false,false,false,false,false,false,false,,
ext_2411_19388v1_claim10,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim1,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2202_14025v1_legacy_claim2,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim3,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2202_14025v1_legacy_claim4,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim5,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim6,true,true,true,true,true,true,false,true,T1,RQ2 scalar card
ext_2202_14025v1_legacy_claim7,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim8,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2202_14025v1_legacy_claim11,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim12,true,true,true,true,true,true,false,true,T1,RQ2 scalar card
ext_2202_14025v1_legacy_claim13,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2202_14025v1_legacy_claim14,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim15,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim16,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim17,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim18,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim19,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim20,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim21,true,false,false,false,false,false,false,false,,
ext_2202_14025v1_legacy_claim22,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2202_14025v1_legacy_claim24,true,false,false,false,false,false,false,false,,
ext_2410_15626v1_legacy_claim1,true,false,false,false,false,false,false,false,,
ext_2410_15626v1_legacy_claim2,true,false,false,false,false,false,false,false,,
ext_2410_15626v1_legacy_claim3,true,false,false,false,false,false,false,false,,
ext_2410_15626v1_legacy_claim4,true,false,false,false,false,false,false,false,,
ext_2410_15626v1_legacy_claim5,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
