synthetic_claim_id,batch_index,seed,s_true,n_cells,successes,failures,s_hat,ci_low,ci_high,ci_contains_s_true,tau,true_tau_class,decision,reporting_status
cal_n10_s05_0000,1,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0001,2,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0002,3,42,0.5,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0003,4,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0004,5,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0005,6,42,0.5,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0006,7,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0007,8,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0008,9,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0009,10,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0010,11,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0011,12,42,0.5,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0012,13,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0013,14,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0014,15,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0015,16,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0016,17,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0017,18,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0018,19,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0019,20,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0020,21,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0021,22,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0022,23,42,0.5,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0023,24,42,0.5,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0024,25,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0025,26,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0026,27,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0027,28,42,0.5,10,2,8,0.2,0.056682151454375274,0.5098375284633582,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0028,29,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0029,30,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0030,31,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0031,32,42,0.5,10,8,2,0.8,0.49016247153664183,0.9433178485456247,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0032,33,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0033,34,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0034,35,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0035,36,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0036,37,42,0.5,10,3,7,0.3,0.10779126740630104,0.6032218525388545,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0037,38,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0038,39,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0039,40,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0040,41,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0041,42,42,0.5,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0042,43,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0043,44,42,0.5,10,4,6,0.4,0.16818032970623614,0.6873262302663417,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0044,45,42,0.5,10,7,3,0.7,0.39677814746114537,0.8922087325936989,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0045,46,42,0.5,10,6,4,0.6,0.3126737697336583,0.8318196702937637,True,0.95,BelowTau,unstable,Reversed
cal_n10_s05_0046,47,42,0.5,10,5,5,0.5,0.23659309051256405,0.763406909487436,True,0.95,BelowTau,unstable,Reversed
