family,run_id,claim_pair,space_preset,delta,higher_is_better,metric_mean_diff,metric_ci_low,metric_ci_high,metric_supportive,claimstab_decision,baseline_claim_holds,baseline_claim_holds_rate,claim_holds_rate_mean,claim_validation_outcome,stability_hat,stability_ci_low,stability_ci_high,false_reassurance,false_reassurance_refuted,false_reassurance_unstable,false_reassurance_inconclusive,task_family,benchmark_family,slice_class,role,metric,claim_family,source_table_bundle,source_experiment_bundle,source_path,source_run_root,config_path
VQE/H2,W1_vqe_pilot,VQE_HEA>VQE_HF,combined_light_exact,0.0,False,-0.10645781249999997,-0.12432859884233657,-0.08858702615766337,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_HEA>VQE_HF,combined_light_exact,0.01,False,-0.10645781249999997,-0.12432859884233657,-0.08858702615766337,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_HEA>VQE_HF,combined_light_exact,0.05,False,-0.10645781249999997,-0.12432859884233657,-0.08858702615766337,False,unstable,False,0.0,0.0,unstable,0.8620689655172413,0.8029685535184531,0.9055276589819038,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_UCCSD>VQE_HEA,combined_light_exact,0.0,False,-0.1282756944444445,-0.13804893652256583,-0.11850245236632319,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_UCCSD>VQE_HEA,combined_light_exact,0.01,False,-0.1282756944444445,-0.13804893652256583,-0.11850245236632319,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_UCCSD>VQE_HEA,combined_light_exact,0.05,False,-0.1282756944444445,-0.13804893652256583,-0.11850245236632319,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_UCCSD>VQE_HF,combined_light_exact,0.0,False,-0.2347335069444445,-0.24631370953188353,-0.22315330435700548,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_UCCSD>VQE_HF,combined_light_exact,0.01,False,-0.2347335069444445,-0.24631370953188353,-0.22315330435700548,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_UCCSD>VQE_HF,combined_light_exact,0.05,False,-0.2347335069444445,-0.24631370953188353,-0.22315330435700548,False,stable,False,0.0,0.0,refuted,1.0,0.9783995315481123,1.0,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
VQE/H2,W1_vqe_pilot,VQE_HEA>VQE_HF,compilation_only_exact,0.0,False,-0.0992215169270833,-0.0992215169270833,-0.0992215169270833,False,stable,False,0.0,0.0,refuted,1.0,0.9759670685625849,0.9999999999999999,False,False,False,False,quantum_chemistry,h2_vqe_pilot,chemistry,supporting,energy_error,ranking,evaluation_v4,evaluation_v3,output/paper/evaluation_v3/runs/W1_vqe_pilot/claim_stability.json,output/paper/evaluation_v3/runs/W1_vqe_pilot,paper/experiments/config/internal_surface_v2/supporting/h2_vqe_supporting.yml
