claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C1,er_n8_p0.2_seed0,COBYLA,0,0.0,0.9999978918505945,0.9999996861879312,30,30,1.7943373367135251e-06,1
ALGO-C2,er_n8_p0.2_seed0,COBYLA,0,0.01,0.9999978918505945,0.9999996861879312,30,30,1.7943373367135251e-06,0
ALGO-C3,er_n8_p0.2_seed0,COBYLA,0,0.05,0.9999978918505945,0.9999996861879312,30,30,1.7943373367135251e-06,0
ALGO-C1,er_n8_p0.2_seed0,COBYLA,1,0.0,0.9999991003467832,0.9997033202369889,30,30,-0.0002957801097942525,0
ALGO-C2,er_n8_p0.2_seed0,COBYLA,1,0.01,0.9999991003467832,0.9997033202369889,30,30,-0.0002957801097942525,0
ALGO-C3,er_n8_p0.2_seed0,COBYLA,1,0.05,0.9999991003467832,0.9997033202369889,30,30,-0.0002957801097942525,0
ALGO-C1,er_n8_p0.2_seed0,COBYLA,2,0.0,0.9999996362279091,0.9999988862699496,30,30,-7.499579595116046e-07,0
ALGO-C2,er_n8_p0.2_seed0,COBYLA,2,0.01,0.9999996362279091,0.9999988862699496,30,30,-7.499579595116046e-07,0
ALGO-C3,er_n8_p0.2_seed0,COBYLA,2,0.05,0.9999996362279091,0.9999988862699496,30,30,-7.499579595116046e-07,0
ALGO-C1,er_n8_p0.2_seed0,COBYLA,3,0.0,0.9999997278817254,0.9999990741599588,30,30,-6.537217666080508e-07,0
ALGO-C2,er_n8_p0.2_seed0,COBYLA,3,0.01,0.9999997278817254,0.9999990741599588,30,30,-6.537217666080508e-07,0
ALGO-C3,er_n8_p0.2_seed0,COBYLA,3,0.05,0.9999997278817254,0.9999990741599588,30,30,-6.537217666080508e-07,0
ALGO-C1,er_n8_p0.2_seed0,COBYLA,4,0.0,0.9999999464268938,0.9999993478643175,30,30,-5.985625762816582e-07,0
ALGO-C2,er_n8_p0.2_seed0,COBYLA,4,0.01,0.9999999464268938,0.9999993478643175,30,30,-5.985625762816582e-07,0
ALGO-C3,er_n8_p0.2_seed0,COBYLA,4,0.05,0.9999999464268938,0.9999993478643175,30,30,-5.985625762816582e-07,0
ALGO-C1,er_n8_p0.2_seed0,COBYLA,5,0.0,0.9999522898009152,0.9999899661461733,30,30,3.7676345258086386e-05,1
ALGO-C2,er_n8_p0.2_seed0,COBYLA,5,0.01,0.9999522898009152,0.9999899661461733,30,30,3.7676345258086386e-05,0
