claim_id,corpus,source_group,n_cells,wilson_lower,wilson_upper,wilson_class,bootstrap_agreement,bootstrap_iterations,same_classification,classification
Arithmetic software-stack|pytket>Qiskit|compilation_only_exact|delta=0.00,Canonical 24,canonical,84,0.95626827158534,1.0,Sustained,1,1,True,Sustained
Arithmetic software-stack|pytket>Qiskit|compilation_only_exact|delta=1.00,Canonical 24,canonical,84,0.95626827158534,1.0,Sustained,1,1,True,Sustained
Arithmetic software-stack|pytket>Qiskit|compilation_only_exact|delta=2.00,Canonical 24,canonical,84,0.95626827158534,1.0,Sustained,1,1,True,Sustained
GHZ software-stack|pytket>Qiskit|compilation_only_exact|delta=0.00,Canonical 24,canonical,140,0.9732937996305868,1.0,Sustained,1,1,True,Sustained
GHZ software-stack|pytket>Qiskit|compilation_only_exact|delta=1.00,Canonical 24,canonical,140,0.9732937996305868,1.0,Sustained,1,1,True,Sustained
GHZ software-stack|pytket>Qiskit|compilation_only_exact|delta=2.00,Canonical 24,canonical,140,0.9732937996305868,1.0,Sustained,1,1,True,Sustained
QFT software-stack|pytket>Qiskit|compilation_only_exact|delta=0.00,Canonical 24,canonical,140,0.9732937996305868,1.0,Sustained,1,1,True,Sustained
QFT software-stack|pytket>Qiskit|compilation_only_exact|delta=1.00,Canonical 24,canonical,140,0.9732937996305868,1.0,Sustained,1,1,True,Sustained
QFT software-stack|pytket>Qiskit|compilation_only_exact|delta=2.00,Canonical 24,canonical,140,0.9732937996305868,1.0,Sustained,1,1,True,Sustained
Max-2-SAT QAOA|QAOA_p2>QAOA_p1|combined_light_exact|delta=0.00,Canonical 24,canonical,180,0.7836467596580712,0.8911115379613166,Unresolved,1,1,True,Unresolved
Max-2-SAT QAOA|QAOA_p2>QAOA_p1|combined_light_exact|delta=0.01,Canonical 24,canonical,180,0.7836467596580712,0.8911115379613166,Unresolved,1,1,True,Unresolved
Max-2-SAT QAOA|QAOA_p2>QAOA_p1|combined_light_exact|delta=0.05,Canonical 24,canonical,180,0.7772562866787965,0.8862560393136013,Unresolved,1,1,True,Unresolved
Max-2-SAT QAOA|QAOA_p2>QAOA_p1|compilation_only_exact|delta=0.00,Canonical 24,canonical,162,0.9544651890044474,0.9964770829283276,Sustained,1,1,True,Sustained
Max-2-SAT QAOA|QAOA_p2>QAOA_p1|compilation_only_exact|delta=0.01,Canonical 24,canonical,162,0.86265154132306,0.9506543491457607,Unresolved,1,1,True,Unresolved
Max-2-SAT QAOA|QAOA_p2>QAOA_p1|compilation_only_exact|delta=0.05,Canonical 24,canonical,162,0.8474194634870891,0.940861630351922,Unresolved,1,1,True,Unresolved
MaxCut QAOA|QAOA_p2>QAOA_p1|combined_light_exact|delta=0.00,Canonical 24,canonical,900,0.7172004771468777,0.7748796315038528,Unresolved,1,1,True,Unresolved
MaxCut QAOA|QAOA_p2>QAOA_p1|combined_light_exact|delta=0.01,Canonical 24,canonical,900,0.6510872782635506,0.7128231276688501,Unresolved,1,1,True,Unresolved
MaxCut QAOA|QAOA_p2>QAOA_p1|combined_light_exact|delta=0.05,Canonical 24,canonical,900,0.6241376125477609,0.6871316654824686,Unresolved,1,1,True,Unresolved
MaxCut QAOA|QAOA_p2>QAOA_p1|compilation_only_exact|delta=0.00,Canonical 24,canonical,810,0.8839317825692881,0.924905250564767,Unresolved,1,1,True,Unresolved
MaxCut QAOA|QAOA_p2>QAOA_p1|compilation_only_exact|delta=0.01,Canonical 24,canonical,810,0.8616686746110931,0.9063437764089404,Unresolved,1,1,True,Unresolved
MaxCut QAOA|QAOA_p2>QAOA_p1|compilation_only_exact|delta=0.05,Canonical 24,canonical,810,0.7597615840199445,0.816885638340612,Unresolved,1,1,True,Unresolved
