claim_id,instance_id,l1_regime,shots,sim_seed,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
COMB-C1,er_n10_p0.2_seed0,default-low,512,0,ideal,0.0,1.06640625,0.77734375,-0.2890625,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,0,ideal,0.01,1.06640625,0.77734375,-0.2890625,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,0,ideal,0.05,1.06640625,0.77734375,-0.2890625,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,0,depol-medium,0.0,0.98828125,0.79296875,-0.1953125,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,0,depol-medium,0.01,0.98828125,0.79296875,-0.1953125,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,0,depol-medium,0.05,0.98828125,0.79296875,-0.1953125,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,0,depol-high,0.0,1.041015625,0.927734375,-0.11328125,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,0,depol-high,0.01,1.041015625,0.927734375,-0.11328125,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,0,depol-high,0.05,1.041015625,0.927734375,-0.11328125,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,1,ideal,0.0,1.015625,0.767578125,-0.248046875,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,1,ideal,0.01,1.015625,0.767578125,-0.248046875,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,1,ideal,0.05,1.015625,0.767578125,-0.248046875,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,1,depol-medium,0.0,0.98828125,0.796875,-0.19140625,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,1,depol-medium,0.01,0.98828125,0.796875,-0.19140625,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,1,depol-medium,0.05,0.98828125,0.796875,-0.19140625,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,1,depol-high,0.0,1.041015625,0.931640625,-0.109375,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,1,depol-high,0.01,1.041015625,0.931640625,-0.109375,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,1,depol-high,0.05,1.041015625,0.931640625,-0.109375,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,2,ideal,0.0,0.974609375,0.697265625,-0.27734375,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,2,ideal,0.01,0.974609375,0.697265625,-0.27734375,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,2,ideal,0.05,0.974609375,0.697265625,-0.27734375,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,2,depol-medium,0.0,0.98828125,0.794921875,-0.193359375,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,2,depol-medium,0.01,0.98828125,0.794921875,-0.193359375,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,2,depol-medium,0.05,0.98828125,0.794921875,-0.193359375,0
COMB-C1,er_n10_p0.2_seed0,default-low,512,2,depol-high,0.0,1.041015625,0.9296875,-0.111328125,0
COMB-C2,er_n10_p0.2_seed0,default-low,512,2,depol-high,0.01,1.041015625,0.9296875,-0.111328125,0
COMB-C3,er_n10_p0.2_seed0,default-low,512,2,depol-high,0.05,1.041015625,0.9296875,-0.111328125,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,0,ideal,0.0,1.0244140625,0.75390625,-0.2705078125,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,0,ideal,0.01,1.0244140625,0.75390625,-0.2705078125,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,0,ideal,0.05,1.0244140625,0.75390625,-0.2705078125,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,0,depol-medium,0.0,1.0302734375,0.7900390625,-0.240234375,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,0,depol-medium,0.01,1.0302734375,0.7900390625,-0.240234375,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,0,depol-medium,0.05,1.0302734375,0.7900390625,-0.240234375,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,0,depol-high,0.0,1.072265625,0.9296875,-0.142578125,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,0,depol-high,0.01,1.072265625,0.9296875,-0.142578125,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,0,depol-high,0.05,1.072265625,0.9296875,-0.142578125,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,1,ideal,0.0,1.001953125,0.7490234375,-0.2529296875,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,1,ideal,0.01,1.001953125,0.7490234375,-0.2529296875,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,1,ideal,0.05,1.001953125,0.7490234375,-0.2529296875,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,1,depol-medium,0.0,1.03125,0.7900390625,-0.2412109375,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,1,depol-medium,0.01,1.03125,0.7900390625,-0.2412109375,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,1,depol-medium,0.05,1.03125,0.7900390625,-0.2412109375,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,1,depol-high,0.0,1.0732421875,0.9296875,-0.1435546875,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,1,depol-high,0.01,1.0732421875,0.9296875,-0.1435546875,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,1,depol-high,0.05,1.0732421875,0.9296875,-0.1435546875,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,2,ideal,0.0,1.009765625,0.736328125,-0.2734375,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,2,ideal,0.01,1.009765625,0.736328125,-0.2734375,0
