claim_id,instance_id,topology,basis_regime,transpiler_seed,delta,A_two_qubit_count,B_two_qubit_count,A_depth,B_depth,A_two_qubit_depth,B_two_qubit_depth,margin,preserves_direction
L1Q-C1,ghz_n4,linear,u_cx,0,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,0,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,0,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,1,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,1,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,1,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,2,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,2,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,2,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,3,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,3,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,3,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,4,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,4,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,4,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,5,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,5,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,5,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,6,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,6,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,6,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,7,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,7,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,7,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,8,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,8,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,8,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,u_cx,9,0.0,3,3,5,5,3,3,0,0
L1Q-C2,ghz_n4,linear,u_cx,9,0.0,3,3,5,5,3,3,0,0
L1Q-C3,ghz_n4,linear,u_cx,9,0.0,3,3,5,5,3,3,0,0
L1Q-C1,ghz_n4,linear,rz_sx_cx,0,0.0,3,3,7,7,3,3,0,0
L1Q-C2,ghz_n4,linear,rz_sx_cx,0,0.0,3,3,7,7,3,3,0,0
