claim_id,instance_id,shots,sim_seed,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
L2-C1,er_n8_p0.2_seed0,128,0,0.0,0.0,0.5,0.5,1
L2-C2,er_n8_p0.2_seed0,128,0,0.01,0.0,0.5,0.5,1
L2-C3,er_n8_p0.2_seed0,128,0,0.05,0.0,0.5,0.5,1
L2-C1,er_n8_p0.2_seed0,128,1,0.0,0.0,0.5234375,0.5234375,1
L2-C2,er_n8_p0.2_seed0,128,1,0.01,0.0,0.5234375,0.5234375,1
L2-C3,er_n8_p0.2_seed0,128,1,0.05,0.0,0.5234375,0.5234375,1
L2-C1,er_n8_p0.2_seed0,128,2,0.0,0.0,0.5625,0.5625,1
L2-C2,er_n8_p0.2_seed0,128,2,0.01,0.0,0.5625,0.5625,1
L2-C3,er_n8_p0.2_seed0,128,2,0.05,0.0,0.5625,0.5625,1
L2-C1,er_n8_p0.2_seed0,128,3,0.0,0.0,0.4140625,0.4140625,1
L2-C2,er_n8_p0.2_seed0,128,3,0.01,0.0,0.4140625,0.4140625,1
L2-C3,er_n8_p0.2_seed0,128,3,0.05,0.0,0.4140625,0.4140625,1
L2-C1,er_n8_p0.2_seed0,128,4,0.0,0.0,0.484375,0.484375,1
L2-C2,er_n8_p0.2_seed0,128,4,0.01,0.0,0.484375,0.484375,1
L2-C3,er_n8_p0.2_seed0,128,4,0.05,0.0,0.484375,0.484375,1
L2-C1,er_n8_p0.2_seed0,128,5,0.0,0.0,0.5546875,0.5546875,1
L2-C2,er_n8_p0.2_seed0,128,5,0.01,0.0,0.5546875,0.5546875,1
L2-C3,er_n8_p0.2_seed0,128,5,0.05,0.0,0.5546875,0.5546875,1
L2-C1,er_n8_p0.2_seed0,128,6,0.0,0.0,0.5625,0.5625,1
L2-C2,er_n8_p0.2_seed0,128,6,0.01,0.0,0.5625,0.5625,1
L2-C3,er_n8_p0.2_seed0,128,6,0.05,0.0,0.5625,0.5625,1
L2-C1,er_n8_p0.2_seed0,128,7,0.0,0.0,0.5546875,0.5546875,1
L2-C2,er_n8_p0.2_seed0,128,7,0.01,0.0,0.5546875,0.5546875,1
L2-C3,er_n8_p0.2_seed0,128,7,0.05,0.0,0.5546875,0.5546875,1
L2-C1,er_n8_p0.2_seed0,128,8,0.0,0.0,0.5234375,0.5234375,1
L2-C2,er_n8_p0.2_seed0,128,8,0.01,0.0,0.5234375,0.5234375,1
L2-C3,er_n8_p0.2_seed0,128,8,0.05,0.0,0.5234375,0.5234375,1
L2-C1,er_n8_p0.2_seed0,128,9,0.0,0.0,0.46875,0.46875,1
L2-C2,er_n8_p0.2_seed0,128,9,0.01,0.0,0.46875,0.46875,1
L2-C3,er_n8_p0.2_seed0,128,9,0.05,0.0,0.46875,0.46875,1
L2-C1,er_n8_p0.2_seed0,512,0,0.0,0.0,0.509765625,0.509765625,1
L2-C2,er_n8_p0.2_seed0,512,0,0.01,0.0,0.509765625,0.509765625,1
L2-C3,er_n8_p0.2_seed0,512,0,0.05,0.0,0.509765625,0.509765625,1
L2-C1,er_n8_p0.2_seed0,512,1,0.0,0.0,0.50390625,0.50390625,1
L2-C2,er_n8_p0.2_seed0,512,1,0.01,0.0,0.50390625,0.50390625,1
L2-C3,er_n8_p0.2_seed0,512,1,0.05,0.0,0.50390625,0.50390625,1
L2-C1,er_n8_p0.2_seed0,512,2,0.0,0.0,0.544921875,0.544921875,1
L2-C2,er_n8_p0.2_seed0,512,2,0.01,0.0,0.544921875,0.544921875,1
L2-C3,er_n8_p0.2_seed0,512,2,0.05,0.0,0.544921875,0.544921875,1
L2-C1,er_n8_p0.2_seed0,512,3,0.0,0.0,0.5,0.5,1
L2-C2,er_n8_p0.2_seed0,512,3,0.01,0.0,0.5,0.5,1
L2-C3,er_n8_p0.2_seed0,512,3,0.05,0.0,0.5,0.5,1
L2-C1,er_n8_p0.2_seed0,512,4,0.0,0.0,0.529296875,0.529296875,1
L2-C2,er_n8_p0.2_seed0,512,4,0.01,0.0,0.529296875,0.529296875,1
L2-C3,er_n8_p0.2_seed0,512,4,0.05,0.0,0.529296875,0.529296875,1
L2-C1,er_n8_p0.2_seed0,512,5,0.0,0.0,0.505859375,0.505859375,1
L2-C2,er_n8_p0.2_seed0,512,5,0.01,0.0,0.505859375,0.505859375,1
